Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя
"Bochaver A.A., Zhilinskaya A.V., Khlomov K.D.","25622959300;57128524600;57128609500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040952704&doi=10.1080%2f10609393.2017.1408364&partnerID=40&md5=ac9ba6ac70a91ebec822d7e0e3550312",,
"Gordeeva T.O., Osin E.N., Suchkov D.D., Ivanova T.Y., Sychev O.A., Bobrov V.V.","6602172513;35737831400;57195261001;56524921300;56528284200;57200330573;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040906665&doi=10.1080%2f10609393.2017.1408367&partnerID=40&md5=a6429a84557a316f1494200568c73db9",,
"Yasin E.","57195249981;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034610183&partnerID=40&md5=bcbf46a1ef94c2bffe5f72f906b9e632","Development scenarios; Recovery growth; Reform; Restructuring; Transformational crisis",
"Smirnov S.N., Lapshin V.A., Kurbangaleev M.Z.","57190756846;55177754000;57190747005;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982883769&doi=10.1007%2fs11081-016-9333-2&partnerID=40&md5=960e42c8428af42fff400dea67e0970d","Credit default swap; Defaultable bond; Euro zone; Market consistency; Risk-free interest rates; Sovereign default risk; Term structure of credit spreads; Zero coupon yield","Commerce; Risk perception; Credit default Swap; Default risk; Interest rates; Term structure of credit spreads; Zero coupon yield; Risk assessment"
"Kukulin I.","36571921100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020281832&doi=10.1353%2fpan.2017.0020&partnerID=40&md5=bdf1caabe3fe3194519f0d9df27f989e",,
"Antipov E.A., Pokryshevskaya E.B.","36458182800;36458850000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015208771&doi=10.1057%2fs41272-016-0072-y&partnerID=40&md5=433c14258771e371f12bd3c85f379a0e","Data mining; Neural networks; Nonparametric methods; Random forest; Regression; Sales forecasting",
"Gokhberg L., Meissner D., Shmatko N.","6508192345;55337583500;6507223957;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021294012&doi=10.1007%2fs13132-016-0403-7&partnerID=40&md5=9b8a671c40d95ca4e7dd82b997158f71","Doctorates careers; Qualified labor; Research profession; Researcher competencies",
"Ena O.V., Chulok A.A., Shashnov S.A.","57189339675;56669650700;55603433300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969579618&doi=10.1016%2fj.techfore.2016.05.014&partnerID=40&md5=15386f374049c574e9ba4571d8838be5","Delphi; Emerging technologies; Expert network; Foresight centre; Foresight network; Technology roadmapping","Decision making; Network architecture; Delphi; Emerging technologies; Expert networks; Foresight centre; Technology roadmapping; Information management; Delphi analysis; information technology; innovation; policy making; science and technology; technology adoption; topographic mapping; Russian Federation"
"Ryabichenko T., Lebedeva N.","57189590727;8719892500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019218900&doi=10.1177%2f0022022117698041&partnerID=40&md5=2efb6ffb13fb684f23a77c99ea6761d6","acculturation; adaptation; ethnic minorities; integration; motivation for ethno-cultural continuity; well-being","adolescent; child; cultural factor; ethnic group; female; human; inheritance; major clinical study; model; mother; motivation; Russian (citizen); self esteem; teaching; wellbeing"
"Koltcov S.N.","55803521900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023761025&doi=10.1134%2fS1063785017060207&partnerID=40&md5=e7516ed64a82babda463840bfa9274f8",,
"Proskuryakova L.","55252644100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971673272&doi=10.1016%2fj.techfore.2016.05.024&partnerID=40&md5=12dee57fe08af85a26d92d37c9720920","Brazil; China; Delphi; Emerging economies; Energy technology foresight; Russia","Innovation; Technological forecasting; Brazil; China; Delphi; Emerging economies; Energy technologies; Russia; Decision making; Delphi analysis; economic development; energy policy; innovation; research and development; technological development; Brazil; China; Russian Federation"
"Mitra R.","23393298800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033369250&doi=10.1016%2fj.wdp.2017.05.001&partnerID=40&md5=6bffbe1cb58ab50f210f2d482d45176d","Cointegration; Exchange rate; Stock index; VECM",
"Günther J., Meissner D.","35621846100;55337583500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021278878&doi=10.1007%2fs13132-017-0467-z&partnerID=40&md5=4aebd16880bf262db264ac6c3b2e78e9","Cluster; Cluster management; Knowledge diffusion; Spillover",
"Lushin V., Jaccard J., Kaploun V.","36994751200;7006194626;57193906409;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017470757&doi=10.1016%2fj.adolescence.2017.04.003&partnerID=40&md5=4957cbc9d1e8858c5707d6ba112d7fb0",,"adolescent; child parent relation; controlled study; female; heat; human; major clinical study; monitoring; satisfaction; structural equation modeling; underage drinking; adolescent behavior; deception; male; prospective study; psychology; underage drinking; United States; Adolescent; Adolescent Behavior; Deception; Female; Humans; Male; Parent-Child Relations; Parenting; Prospective Studies; Underage Drinking; United States"
"Kratzer J., Meissner D., Roud V.","6602289241;55337583500;55903466600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016491945&doi=10.1016%2fj.techfore.2017.03.022&partnerID=40&md5=b0c67899bc23d9fe0c167c5f7439c5f4","Company culture; Human resource for innovation; Innovation climate; Innovation culture; Open innovation","Technological forecasting; Closed innovations; Company cultures; Empirical analysis; Innovation activity; Innovation capability; Innovation Culture; Open innovation; Rules and regulations; Innovation; corporate strategy; human resource; innovation; Russian Federation"
"Medvedeva E.A., Zhenikhov Y.N., Urvantsev I.V., Tsyba V.E.","57196832602;57194323145;57194338801;57194340638;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019733953&doi=10.1134%2fS0040601517060039&partnerID=40&md5=c154a35136d06e92666abd7cee8d69de","competitiveness; decentralization; economic efficiency; electric power; heat power; peat; tariffs","Boilers; Cost benefit analysis; Costs; Deposits; Electric power utilization; Energy efficiency; Fuels; Granulation; Heating; Houses; Patents and inventions; Peat; competitiveness; decentralization; Economic efficiency; Electric power; Heat power; tariffs; Rural areas; Boilers; Electric Power; Energy Consumption; Peat"
"Gokhberg L., Sokolov A.","6508192345;55145232200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979517623&doi=10.1016%2fj.techfore.2016.06.031&partnerID=40&md5=9358cf8610f99d97f4e7c4f3645c0485","Foresight; Innovation policy; National innovation system; Science and technology","Economics; Innovation; Economic development; Evolutionary perspective; Foresight; Innovation policies; National innovation systems; Science and Technology; Technology and Innovation Policy; Technology foresight; Economic and social effects; economic development; future prospect; historical perspective; innovation; science and technology; technological development; technology policy; Russian Federation"
"Tovar-García E.D.","55421102000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017142167&doi=10.1016%2fj.pse.2017.02.003&partnerID=40&md5=e5c8ef40fbfbbf867e6310a7e9ad4840","Educational achievement; GRIT; Migration background; Russia; Tatarstan",
"Boldyrev I., Kirtchik O.","54881811600;36677495100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017454411&doi=10.1016%2fj.shpsa.2017.03.011&partnerID=40&md5=d7ee1b1ee4858f9346fa1f836cbd535f",,
"Rykov Y.G., Meylakhs P.A., Sinyavskaya Y.E.","56437597200;34978898900;57195353318;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027418372&doi=10.1177%2f0002764217717565&partnerID=40&md5=196e23ffc9e7c0df0784254055d15e33","health-related online community; HIV/AIDS; risk group; social contagion; social networks analysis","content analysis; friendship; health behavior; high risk population; human; Human immunodeficiency virus; nonhuman; propaganda; social network"
"Fursov K., Thurner T.W.","22734005700;23978154900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016869051&doi=10.1093%2fscipol%2fscw072&partnerID=40&md5=32f6196979fae6defc99d945b0d22fb2","Innovation communities; Russia; User innovation","innovation; market development; technological development; Russian Federation"
"Bakhtin P., Saritas O., Chulok A., Kuzminov I., Timofeev A.","57193674146;6506092892;56669650700;56502223900;57193664931;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015612100&doi=10.1007%2fs11192-017-2347-5&partnerID=40&md5=b0262711daa9bed45fbb47e03aff7c4d","Agriculture and food sector; Foresight; Science and strategy; Science push; Semantic similarity; Strategy pull; Tech mining; Text mining; Trend analysis",
"Fursov K., Kadyrova A.","22734005700;57193603826;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015209385&doi=10.1007%2fs11192-017-2340-z&partnerID=40&md5=5277b85776b8a3847473b34866de27a3","Advanced technology; Betweenness centrality; Bibliometric analysis; Co-citation; Emerging technology; Graph analysis",
"Golubeva V.A., Ivanov A.N.","7006772080;57192892152;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013374177&doi=10.1016%2fj.geomphys.2017.01.022&partnerID=40&md5=2614da44e513aa13fdff22f49c8d87e7","Dotsenko–Fateev integral; Hypergeometric functions; Hyperplane arrangements; Pfaffian systems of Fuchsian type; Systems of partial differential equations",
"Havranek T., Rusnak M., Sokolova A.","24453189000;36710696700;57200253291;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017242354&doi=10.1016%2fj.euroecorev.2017.03.009&partnerID=40&md5=109d4ed309bd5ac108d2630373a60d4e","Bayesian model averaging; Consumption; Frequentist model averaging; Habit formation; Meta-analysis","Bayesian analysis; meta-analysis; modeling; psychology; social behavior; uncertainty analysis"
"Kreps V.","6506935353;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007496304&doi=10.1142%2fS0219198917500037&partnerID=40&md5=8c67bbe56dad1ea645898745f8db0f84","Finite noncooperative N person games; maximality; Nash equilibrium point; vector space",
"Trefilov E., Leikin J.","38262044100;57195253959;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026545238&doi=10.1353%2fkri.2017.0032&partnerID=40&md5=34e3ca34f266f169f3ae4cd6a769eeb1",,
"Sorokin P.","56509164400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955298095&doi=10.1007%2fs12108-016-9303-3&partnerID=40&md5=f315093b7f20a6ea0cb192f32bde4fd0","John Meyer; Methodology; Pitirim Sorokin; Professional sociology; Public sociology; Russian sociology; Scientized environment supporting actorhood; Sociology and society",
"Baranov A.D., Fedorovskiy K.Y.","56235290900;7801498472;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021414787&doi=10.1007%2fs11854-017-0010-y&partnerID=40&md5=3ce1e84ed2118025b6609d45ab87c455",,
"Nye J.V.C., Bryukhanov M., Polyachenko S.","8234501800;57192096239;57192092878;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019034599&doi=10.1016%2fj.dib.2017.04.009&partnerID=40&md5=fb3adbbdd3dedb9c5b307e7667c8a964","Descriptive statics; Generalized ordered logit; RLMS",
"Bondarenko G.G., Kristya V.I., Savichkin D.O.","7103344120;6602779594;56241354200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020112691&doi=10.1007%2fs11182-017-1081-z&partnerID=40&md5=19658bf10e37fd6b59668ce0a2309a2b","Field electron emission; Insulating film; Normal glow discharge",
"Vishnevskiy K., Karasev O., Meissner D., Razheva A., Klubova M.","57194113437;54895674700;55337583500;56453429900;56453345400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997610568&doi=10.1016%2fj.techfore.2016.05.001&partnerID=40&md5=14828be3d484fade03f2088fda2ffb97","Forecasting; Foresight; Innovation; Priority setting; Russia; Scenarios; Shipbuilding; STI","Competition; Economic and social effects; Forecasting; Innovation; Shipbuilding; Ships; Shipyards; Foresight; International experiences; Priority setting; Russia; Scenarios; Shipbuilding industry; Social and economic development; Technology foresight; Industrial economics; competitiveness; future prospect; industrial competition; industrial development; industrial technology; innovation; shipbuilding; Russian Federation"
"Inishev I.","39461364000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030471001&partnerID=40&md5=6433e72cf8bd246ad8f52bacf5cb57e1","Hermeneutics; Iconic Materiality.; Image Theory",
"Kokovin S., Nahata B.","23392413500;6507212584;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988649050&doi=10.1007%2fs10479-016-2320-3&partnerID=40&md5=0220f03309749939f02bcc5d91737a90",,
"Kotyrlo E.","55318733700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997824425&doi=10.1007%2fs12546-016-9180-1&partnerID=40&md5=56e259a67b00419c700d50837bae8eb7","Commuting; Daily mobility; Day-time population; Demand for children; Effect of earnings; Subjective well-being","birth rate; cohabitation; commuting; demand analysis; demographic trend; employment; fertility; income; marriage; mobility; residential location; socioeconomic status; working conditions"
"Kiritchenko V.","7801669086;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961216651&doi=10.1007%2fs00031-016-9372-y&partnerID=40&md5=b9e997e1057c9d02ed2c59f8f8bd0150",,
"Natanzon S.M., Orlov A.Y.","6603742412;7202403709;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014003660&doi=10.1007%2fs11005-017-0944-0&partnerID=40&md5=43c6172186d3448fed448495eef99b0f","BKP; Hall–Littlewood polynomials; Hurwitz numbers; Hypergeometric functions; Projective plane; Random matrices; Random partitions; Schur polynomials; Tau functions",
"Nicolini M., Scarpa C., Valbonesi P.","36895078000;8725413500;56986120500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024844347&doi=10.1093%2ficc%2fdtw023&partnerID=40&md5=e8f01576e860be1932fb414d7d187bd6",,"aid; automobile industry; European Union; Europe"
"Miles I., Meissner D., Vonortas N.S., Carayannis E.","7003911939;55337583500;6602487131;7006225155;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018770804&doi=10.1016%2fj.techfore.2017.04.009&partnerID=40&md5=4cb77cc4ace3666afb069550b6fd9f6c",,"Innovation; Technological forecasting; Industrialized countries; Innovation process; Innovation system; Market economies; Policy analysts; Scientific knowledge; Technological opportunity; Technology foresight; Economics"
"Bykov P.L., Vasilenko E.V., Gordin V.A., Tarasova L.L.","55201466000;57193446059;7004227636;56240325700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024128080&doi=10.3103%2fS1068373917060061&partnerID=40&md5=0df68e7150b798323b043a6e299c8831","available water capacity; correlation function; Earth remote sensing; measurement checking; optimal interpolation; positive definiteness; Soil moisture","Moisture; Remote sensing; Satellites; Soil moisture; Soil surveys; Available water capacities; Correlation function; Earth remote sensing; Optimal interpolation; Positive definiteness; Soils; available water capacity; correlation; ground-based measurement; interpolation; moisture content; relative humidity; remote sensing; satellite imagery; soil moisture"
"Sheldon K.M., Titova L., Gordeeva T.O., Osin E.N., Lyubomirsky S., Bogomaz S.","7006407803;57194204837;6602172513;35737831400;7003922794;6603772587;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019240311&doi=10.1177%2f0022022117699883&partnerID=40&md5=fa7615a66e4bf8d65ba1cb6b655b3fa4","emotion; interpersonal relationships; personality","American; controlled study; friend; happiness; human; human experiment; human relation; international relations; model; personality; Russian (citizen); student; unhappiness; wellbeing"
"Lobanov Y., Shcherbatenko M., Semenov A., Kovalyuk V., Kahl O., Ferrari S., Korneev A., Ozhegov R., Kaurova N., Voronov B.M., Pernice W.H.P., Gol'tsman G.N.","9333900400;56095501200;56879243200;35778256000;56898793400;56594333800;7006297830;8309839000;6507396101;57200973381;16040560600;7006771637;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015156205&doi=10.1109%2fTASC.2016.2645132&partnerID=40&md5=54c6444502d84deccd9c5c60ee217f3b","heterodyne detection in optics; optical coherent receivers; Superconducting nanowire single-photon detectors","Avalanche photodiodes; Heterodyne detection; Heterodyning; Light; Nanowires; Particle beams; Photodetectors; Photons; Coherent detection; Coherent receivers; Heterodyne technique; Nanophotonic waveguides; Photon counting detectors; Regime of operation; Superconducting nanowire single photon detectors; Telecommunication wavelengths; Signal detection"
"Carayannis E.G., Meissner D., Edelkina A.","7006225155;55337583500;56453429900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027975709&doi=10.1007%2fs10961-015-9433-8&partnerID=40&md5=c622a36c7731c1e3651106b97ba61f4e","Collaboration; Entrepreneurship and innovation ecosystems; Foresight networks; Higher order learning; Innovation management process; Intelligent clusters; Research and innovation smart specialization strategies; Targeted open innovation","Ecology; Ecosystems; Collaboration; Higher-order learning; Innovation management; Intelligent clusters; Open innovation; Innovation"
"Magnani M., Wasserman S.","35280406800;7102046306;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020476481&doi=10.1017%2fnws.2017.15&partnerID=40&md5=fc5be6b9d1cf872d16d79577c59f668b",,
"Tihanov G.","24175231500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026766105&partnerID=40&md5=a0596d95a4bb7ea660c7a64d56e18a79","Hermann Broch; Modernity; Post-romanticism",
"Boklan D.S., Janusz-Pawletta B.","57194635788;56283017900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021328372&doi=10.1007%2fs12665-017-6741-3&partnerID=40&md5=9052d64d7c64a58529ce821322bfef83","Central Asia’s water management; Eurasian Economic Union (EAEU); International water law; Transboundary water management","Economics; Environmental protection; Water management; Central Asia; Dispute settlement mechanisms; Efficient implementation; Eurasian Economic Union (EAEU); Institutional framework; International waters; Transboundary water; Transboundary watercourse; Laws and legislation; economic development; economic integration; environmental issue; environmental protection; implementation process; institutional framework; international law; legislation; regulatory framework; United Nations; water management; Aral Sea; Central Asia"
"Semenov A.G., Zaikin A.D.","57189572950;7103103279;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013025263&doi=10.1002%2fprop.201600043&partnerID=40&md5=8b2c8e66e7be518cebd50eef8cf0917a","Quantum phase slips; shot noise",
"Tihanov G.","24175231500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047448575&partnerID=40&md5=5f9e8b2e611a27655d93d183b3ad8d9d","Hermann Broch; Modernity; Post-romanticism",
"Botchie D., Sarpong D., Bi J.","57189247660;37066444200;56963377200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966461539&doi=10.1016%2fj.techfore.2016.04.011&partnerID=40&md5=5655033cfe47cd5f10584391937c9050","Africa; China; Garment industry; Technology inclusiveness; Uganda","Developing countries; Sewing machines; Technology transfer; Africa; Alternative source; China; Garment industries; Garment manufacturing; Semi structured interviews; Technological innovation; Uganda; Industrial economics; developing world; economic impact; garment industry; industrial production; industrial technology; manufacturing; technology policy; China; Uganda"
"Gutnikov O.V., Dupan A.S., Emelyantsev V.P.","57197820367;57191723972;57197819305;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035001840&doi=10.14505%2fjarle.v8.3%2825%29.16&partnerID=40&md5=48a0d7cec8f83db2ff607d9840ffcaab","Problems of STI regulation; Reform of STI legislation in the Russian Federation; STI (Science, Technology and Innovation); STI development",
"Feige D., Vonortas N.S.","57192432349;6602487131;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006515810&doi=10.1016%2fj.techfore.2016.05.025&partnerID=40&md5=cf0d74eaf88eb0b97cd758775f2ddc08","Convergence; Developing country; Foresight; Technology foresight; Technology gap","Economics; Absorptive capacity; Appropriate technologies; Convergence; Foresight; Global conver-gence; National innovation systems; Technology foresight; Technology gap; Developing countries; appropriate technology; convergence; developing world; economic growth; future prospect; innovation; technology adoption"
"Feigin E., Makhlin I.","6701558236;56556846000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007477145&doi=10.1007%2fs10801-016-0735-1&partnerID=40&md5=86b990f01abbd346cf3faa59779fba79","Convex lattice polytopes; Degenerate flag varieties; FFLV polytopes; Monomial bases; PBW degenerations; Poset polytopes; Representations of semisimple Lie algebras; Vertex enumeration",
"Mamonov M., Vernikov A.","57195236889;55203483300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018791770&doi=10.1016%2fj.ecosys.2016.08.001&partnerID=40&md5=a401fc8085ddb80b52188a5ce1e1bd2a","Asset structure; Bank ownership; Capitalization; Cost efficiency; Russia; State-controlled banks; Stochastic frontier analysis",
"Titova N., Kardakova A.I., Tovpeko N., Ryabchun S., Mandal S., Morozov D., Klemencic G.M., Giblin S.R., Williams O.A., Goltsman G.N., Klapwijk T.M.","56740458200;39861647200;57193570599;15766226900;15056164400;56488446900;56024315000;8516599100;52864907600;7006771637;7006694350;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014989424&doi=10.1109%2fTASC.2016.2638199&partnerID=40&md5=00843fdb35acf30e5584ac82af5c8657","electron-phonon time; Superconducting boron-doped diamond; superconducting nanobolometers","Chemical vapor deposition; Diamonds; Electron-phonon interactions; Electrons; Phonons; Single crystals; Substrates; Superconducting films; Boron doped diamond; Boron-doped diamond films; Diamond substrates; Electron phonon; Normal state resistivity; Silicon substrates; Superconducting bolometers; superconducting nanobolometers; Diamond films"
"Feigin E., Fourier G., Littelmann P.","6701558236;14631977300;6602543209;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026883840&doi=10.1007%2fs00031-016-9389-2&partnerID=40&md5=496347e8b98bad1cb0f5ffc28b547060",,
"Erokhina O., Rogozhina I., Prange M., Bakker P., Bernales J., Paul A., Schulz M.","36666082500;15837797300;56231778100;49860935300;56624494100;7402489842;7402485602;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019639493&doi=10.1017%2fjog.2017.10&partnerID=40&md5=416e73ee65634e793be41dd31f9d6775",,
"Rakhmanov A.L., Kugel K.I., Kagan M.Y., Rozhkov A.V., Sboychakov A.O.","7006710342;7003929702;7102277369;7006655917;8341151200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028317319&doi=10.1134%2fS0021364017120116&partnerID=40&md5=135538057b5d19376e8450d5eea14be0",,
"Korneeva Y., Florya I., Vdovichev S., Moshkova M., Simonov N., Kaurova N., Korneev A., Goltsman G.","36617215400;36155188500;8916243100;57193950740;57193953246;6507396101;7006297830;7006771637;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017635633&doi=10.1109%2fTASC.2017.2659661&partnerID=40&md5=10264babbdab4689c94e40aa38c23671","nanowire single-photon detectors; superconducting photoncounting devices; Thin film devices","Avalanche photodiodes; Electron-phonon interactions; Energy efficiency; Particle beams; Photons; Superconducting devices; Superconducting films; Thin film devices; Thin films; Detection efficiency; Electron phonon; Nonlinear current; Photon absorptions; Photon counting; Single-photon detectors; Superconducting single-photon detectors; Thin superconducting films; Niobium compounds"
"Feigin E., Finkelberg M., Reineke M.","6701558236;6602282553;6602920692;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019684672&doi=10.1215%2f21562261-3821864&partnerID=40&md5=ece9f4d4a0cc4f9aed268a7cb5f59950",,
"Grigoriev P.D., Sinchenko A.A., Kesharpu K.K., Shakin A., Mogilyuk T.I., Orlov A.P., Frolov A.V., Lyubshin D.S., Chareev D.A., Volkova O.S., Vasiliev A.N.","7004467795;6602112623;57195471125;56835661700;54898036100;24460551600;57193951950;8520872700;15051531400;56227907300;7101778849;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028331030&doi=10.1134%2fS0021364017120074&partnerID=40&md5=7ae61eac38311bf0319bd45e08b0b590",,
"Piai V., Meyer L., Dronkers N.F., Knight R.T.","36961301600;53980176000;6603880631;57202526480;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016578495&doi=10.1002%2fhbm.23581&partnerID=40&md5=518067dfea26bbf8ed5be3ee64a94aa5","context; disconnection; neuroplasticity; oscillations; production; splenium; tapetum","adult; aged; angular gyrus; Article; brain electrophysiology; brain region; cerebrovascular accident; clinical article; connectome; controlled study; electroencephalogram; female; hemispheric dominance; human; inferior frontal gyrus; language; left hemisphere; male; mathematical computing; middle temporal gyrus; nerve cell plasticity; nerve conduction; nuclear magnetic resonance imaging; nuclear magnetic resonance scanner; parietal cortex; priority journal; right hemisphere; stroke patient; superior temporal gyrus; supramarginal gyrus; temporal cortex; temporal lobe; Western aphasia battery; white matter; word recognition; brain mapping; cerebrovascular accident; complication; comprehension; diagnostic imaging; electroencephalography; image processing; language disability; middle aged; nerve cell plasticity; nonparametric test; pathology; pathophysiology; physiology; recall; verbal learning; Aged; Brain Mapping; Brain Waves; Comprehension; Electroencephalography; Female; Functional Laterality; Humans; Image Processing, Computer-Assisted; Language Disorders; Magnetic Resonance Imaging; Male; Mental Recall; Middle Aged; Neuronal Plasticity; Statistics, Nonparametric; Stroke; Temporal Lobe; Verbal Learning"
"Chalk M., Masset P., Gutkin B., Deneve S.","36010487400;57194701287;55884887100;6602241278;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021768441&doi=10.1371%2fjournal.pcbi.1005582&partnerID=40&md5=ca972ec3c350af27e62480e2ff42f5a0",,"noise; prediction; receptive field; sensory nerve cell; stimulus; animal; association; biological model; computer simulation; human; nerve cell network; nerve cell plasticity; physiology; retina ganglion cell; signal noise ratio; statistical model; vision; visual field; Animals; Computer Simulation; Cues; Humans; Models, Neurological; Models, Statistical; Nerve Net; Neuronal Plasticity; Retinal Ganglion Cells; Signal-To-Noise Ratio; Visual Fields; Visual Perception"
"Dubina I.N., Campbell D.F.J., Carayannis E.G., Chub A.A., Grigoroudis E., Kozhevina O.V.","15072808400;8403349000;7006225155;57194623058;6506717307;57190430404;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021278936&doi=10.1007%2fs13132-016-0426-0&partnerID=40&md5=7847541b45bd614f4cf49f5c00212f1b","Adaptive institutional environment; Business simulation game; Game theory; Innovation; Innovation ecosystem; Quadruple and Quintuple Helix Innovation Systems; Risk; Spatial Innovation and Entrepreneurial Ecosystem; Sustainable development; Systems compromise; Uncertainty",
