;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Shilov V.V., Silantiev S.A.,""57200388029";56018508000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962023358&doi=10.1109%2fHISTELCON.2015.7307312&partnerID=40&md5=1b828a177ada27a2e7a6b991309b1452"",""Aleksandr Schukarev"; Allan Marquand; Annibale Pastore; Benjamin Burack; Charles Macaulay; Charles Stanhope; John Venn; Jonathan Swift; logical machine; Martin Gardner; Pavel Khruschev; Ramon Lull; Semen Korsakov; Stanley Jevons;" William Hamilton"",""Biographies"; Aleksandr Schukarev; Allan Marquand; Annibale Pastore; Benjamin Burack; Charles Macaulay; Charles Stanhope; Hamiltons; John Venn; Jonathan Swift; Martin Gardner; Pavel Khruschev; Ramon Lull; Semen Korsakov; Stanley Jevons;" History""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Rozhkov K.L., Skriabina N.I.,""56769813100";56770008000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949227695&doi=10.1108%2fJPMD-06-2015-0021&partnerID=40&md5=98b4a1b619c73dfc7a7a463cedd73e37"",""Place benefit"; Place product; Product concept; Product technology; Resident lifestyle;" Typology"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Safronov P.A.,""57188742262";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962647896&doi=10.1080%2f10609393.2015.1148958&partnerID=40&md5=4fbb5648275e74319bb8b136a5446e57"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Filatova I.,""55340678200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956734298&doi=10.1080%2f10220461.2015.1115369&partnerID=40&md5=2534abe81ba2f41b1e10806acea93616"",""African National Congress"; Broederbond; Communist Party of the Soviet Union; National Party; Russia; South Africa; South African National Intelligence Service (NIS); Soviet State Committee for State Security (KGB);" Soviet Union"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Antoci A., Sabatini F., Sodini M.,""6508368278";41961590000;26534851600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949529791&doi=10.1080%2f0022250X.2015.1022278&partnerID=40&md5=e33a181de0d81ca0573598fa985d098e"",""digital divide"; online networks; social capital; social participation;" well-being"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Timofeevna V.N.,""57196702446";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033672919&partnerID=40&md5=b2361f7ec48f912eaddb3f401fa92d18"",""Job Turnover"; Labor Market; Labor Mobility; Labor Turnover; Market Economies.; Reallocation;" Transition Countries"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Klimova S.,""57195533398";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968611449&partnerID=40&md5=09de861af086bd44e2cad45975f6fed8"",""Caucasian theme"; Polemos; Ressentiment;" War and peace"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Daniel M.,""55824230500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949533125&doi=10.1016%2fj.pragma.2015.07.002&partnerID=40&md5=c03da0940b44c53fd7262dd556a98820"",""Archi"; East Caucasian languages; Logophoric pronouns;" Reported speech"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Efendiev A., Sorokin P., Kozlova M.,""36008134200";56509164400;56735898600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958239902&partnerID=40&md5=761b80b4abadf3b2b7d1010d7db0f0e4"",,""economic growth"; farming system; industrial enterprise; rural development; rural economy; rural population; Belgorod;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kukshinov E.Y.,""57133020600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958950168&doi=10.4018%2fIJCBPL.2015100106&partnerID=40&md5=8ee21166de5a1e28df3fd0052a009798"",""Immersion"; Online Disinhibition Effect; Self-Concept; Self-Presentation;" Virtual Self"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kotomina O.V.,""56997363800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949495665&doi=10.1134%2fS2079970515040103&partnerID=40&md5=8c62887ce592bde5b243f7353e20fa3e"",""federal districts"; knowledge-intensive business services; Russia's regions; sector of knowledge-intensive business services; spatial distribution;" supply and demand"",""business service"; comparative study; knowledge; spatial distribution;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Saritas O., Burmaoglu S.,""6506092892";53163130500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942980466&doi=10.1007%2fs11192-015-1671-x&partnerID=40&md5=85d750faa9e4566ddade3d73df77d6e7"",""Foresight"; Foresight methods; FTA;" Scientometrics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kovaleva E.V., Mirkin B.G.,""56909717700";35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947126382&doi=10.1007%2fs00357-015-9186-y&partnerID=40&md5=5a8bb37cf55efb1ebe6dee75543cd173"",""Bisecting k-means"; Cluster structure generator; Computational experiment; Divisive clustering; Principal directions; Random directions; Split base decomposition;" Uphierarchy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Riès S.K., Karzmark C.R., Navarrete E., Knight R.T., Dronkers N.F.,""36021907300";56871212400;8725200900;57202526480;6603880631;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942303687&doi=10.1016%2fj.bandl.2015.07.007&partnerID=40&md5=8ce11ac7b7b0c811e65b2779b8c32480"",""Chronic stroke patients"; Language production; Left prefrontal cortex; Proactive control; Semantic interference;" Word selection"",""adult"; Article; brain function; brain region; clinical article; cognition; controlled study; executive function; female; human; left prefrontal cortex; male; mental task; prefrontal cortex; response time; semantics; task performance; word selection; aged; cerebrovascular accident; middle aged; pathology; pathophysiology; photostimulation; physiology; prefrontal cortex; psychology; reaction time; repetition priming; semantics; verbal behavior; Aged; Female; Humans; Male; Middle Aged; Photic Stimulation; Prefrontal Cortex; Reaction Time; Repetition Priming; Semantics; Stroke;" Verbal Behavior""";;;;;;;;;;;;;;;;;;;;;;;;
