;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Remington T.F.,""7004041812";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990841892&doi=10.1007%2fs11266-016-9793-1&partnerID=40&md5=6cebabdedce9cfc9588825b760e0aabf"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Cook L.J.,""23034068600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990869173&doi=10.1007%2fs11266-016-9792-2&partnerID=40&md5=95fbe047bbf2231541b407c73cf153c6"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lyusin D., Ovsyannikova V.,""8655301900";55557581200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946157687&doi=10.1016%2fj.lindif.2015.04.010&partnerID=40&md5=c928995e093184a837d862d6711c24af"",""Emotion intelligence"; Emotion recognition;" Videotest of Emotion Recognition"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Itkin I., Malyshev S.,""57194582251";57194579771;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020964414&partnerID=40&md5=7a058bc1ece3d4473e58b288a38acb80"",""Berlin Turfan Collection"; Bilingual texts; Brahmi script; Buddhastotras; Buddhism; Manuscripts; Matrceta; Palaeography; Sanskrit; Tocharian;" Varnarhavarnastotra"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Koroleva D.O., Kochervey A.I., Nasonova K.M., Shibeko Y.V.,""56955559600";57196460852;57196454062;57196450127;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033409703&doi=10.1080%2f10609393.2017.1353840&partnerID=40&md5=ccbda2397697aae1b8515b528b7fc4ed"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Yagolkovskiy S.R., Kharkhurin A.V.,""57189760601";24437669500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982146148&doi=10.1016%2fj.tsc.2016.08.001&partnerID=40&md5=0739f4089ba967bbeedc0f51fdb6d64b"",""Creativity"; Divergent thinking; Idea generation;" Stimulus material"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Varshavskaya E.Y.,""56766126200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033387962&doi=10.1080%2f10609393.2017.1353859&partnerID=40&md5=57a47363189e9f9a2840e5ce7c9e5a79"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kazun A., Barsukova S.,""57193912167";8881851000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020101496&doi=10.4074%2fS033805991600406X&partnerID=40&md5=9b30d94cb2c1f3c224b9b03e862183a3"",""Agenda-setting in media"; Public discussion;" Risks and potential benefits of Russia's WTO accession"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Govorun A., Marques I., II, Pyle W.,""57192251850";57143976400;6701393264;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018780373&doi=10.1515%2fbap-2015-0032&partnerID=40&md5=088c6a06f7b8ed8666402ba41a2206e3"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Nałęcz S., Leś E., Pieliński B.,""56317966500";56051843700;56912321600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990867080&doi=10.1007%2fs11266-016-9798-9&partnerID=40&md5=4adb34763e8858c50b8a0e14cd79ab3b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
